LOCATION_NAME,M2N,M4Y,M5A,M5B,M4H,M3N,M5T,M4X,M5G,M2J,M5S,M3C,M6K,M1G,M5V,M1K
Na-Me-Res,9.56932853686699,3.4211688921747743,5.307187471722227,4.1706850849995565,6.515098899162682,11.752044820557119,3.5334153758312965,4.27326528772117,3.891152390333,12.377186987131331,2.6083197934154416,7.628528929036416,4.580161764419243,19.10543737698875,5.060516744203814,13.583279404218082
TSSS Womens' Residence,12.852714233627621,2.443073869770564,3.363662092271046,2.1740495167892746,7.552165564514916,15.004609893502469,0.5410507061255773,3.4596764046687967,1.5754519375403064,14.976483752221275,1.3220406528024287,9.4093472365381,2.445597369869358,20.139111669814962,1.680727588367838,14.229722434564344
TSSS Seaton House,12.323034236845574,0.938831628100795,1.041724191287201,0.35196227461486074,5.519568542148289,15.975446020984384,1.972991593826721,1.1772172414760984,0.9437235732606839,13.581930003391165,1.954191029755602,7.648713552180623,4.944910400921736,17.823704897002468,3.592777729503652,11.850593539727791
TSSS Downsview Dells,7.410547390817313,12.544269563021064,14.436065901507822,13.390809902589023,13.008413983280166,2.5144513511437423,12.706807633549952,13.15925626884383,13.142092176755543,12.67830475890513,11.853930209559106,12.304430725796557,12.46859571477474,22.72200275543237,13.827215361166564,18.81279894883849
TSSS Fort York Residence,13.973634681026004,3.2252990575707936,3.576207835751066,2.635261702158939,8.365391965088309,15.97001736841494,1.3550158528506822,4.096513973335588,2.0977813733535435,16.00741076237626,2.382373764907949,10.332119849621922,2.2703361243098517,20.804011537200196,0.6372585526221047,14.834138896050094
Sagatay ,9.521607158389878,3.469682619023555,5.3571151731204365,4.223575848560615,6.521866478020245,11.69703024941397,3.590332276538554,4.3156361357707675,3.946336174258369,12.346008293440134,2.6645369902596774,7.618552644495224,4.623039917310982,19.102850687874938,5.114709789381939,13.589432112295844
The Scott Mission - Kensington location,12.609869901470862,1.981402046115228,2.9536663378714914,1.7330100810221332,7.1038002356856635,15.042516387128538,0.14900918207329483,2.993540470570725,1.1391685205288709,14.610036779996276,0.9818018395387896,8.989752688221321,2.909837182973188,19.676378293650306,2.0175888411662433,13.76400067739623
Dixon Hall Schoolhouse,12.282360337133307,0.900484558989849,1.0670950054002046,0.3665725611940451,5.48976674575077,15.940563611960332,1.976320202999451,1.147294797974382,0.9507933483770677,13.545142951046167,1.935862045818083,7.615000800326353,4.951029783852181,17.804308211422573,3.6125788395597325,11.833583784834522
Good Shepherd Centre Barrett House,12.900655652411904,1.862573768672484,0.052230499617737326,1.261077856580968,5.476816295262738,16.910968508734545,2.8356816857311578,1.4604702840209585,1.8196595974558047,13.791160812426833,2.965782786877141,7.735216816779565,5.726134236085331,17.3951746132424,4.142420953588735,11.374004061854665
Good Shepherd Centre,12.957746857556067,1.8921426010857632,0.0202736567195891,1.2589649351601087,5.540383368413877,16.94501378870347,2.818130627819258,1.5176132753773732,1.8079623181150153,13.854964194388932,2.9713899275959004,7.799199765348961,5.69743397836651,17.44891707814458,4.100196152283456,11.426338518321726
Good Shepherd Centre,12.957746857556067,1.8921426010857632,0.0202736567195891,1.2589649351601087,5.540383368413877,16.94501378870347,2.818130627819258,1.5176132753773732,1.8079623181150153,13.854964194388932,2.9713899275959004,7.799199765348961,5.69743397836651,17.44891707814458,4.100196152283456,11.426338518321726
Cornerstone Place,8.700238299843956,5.502721021498058,7.392871553548337,6.252643853186946,7.854420043396558,9.71857791841081,5.471262897883661,6.30871268557979,5.946569514892938,12.309494970295654,4.641154875561107,8.455513375921997,5.700800337032148,20.042992942921636,6.709613373930431,14.815383954040653
CONC Men's Shelter Lansdowne Ave,11.602624974379319,5.222003396605069,6.824288084135658,5.5506069801940985,9.253532218835298,11.756062456560521,4.159092807367849,6.287570221252539,5.035768759577992,14.959662439658791,3.8631950952669665,10.429359217028393,3.0546756995356708,21.89703972230178,4.5864655170983655,16.31493577555457
SA Evangeline Residence,12.069576423206492,6.599515810604915,8.178322684517575,6.904634295097676,10.522081030557382,11.17658567382159,5.459930980235306,7.665666255261668,6.375423235981671,15.780325312536466,5.232475191564427,11.56614522449206,3.7940837460492083,23.098738658701272,5.60611039184769,17.59066192819747
SA Gateway,13.166749843694324,1.7402781282630175,0.940632951737615,0.7704139975608538,6.22024096712764,16.655332544710156,2.0002774865700865,1.9283980746457163,1.0900750800261803,14.384286736837923,2.3903604306151816,8.406966702061984,4.799272218702648,18.320446705400535,3.1813952252169844,12.309401109902957
SVDP St. Clare's Residence,3.658287189025865,14.686568009658915,16.010042880915716,15.66717630555325,11.265365105191478,11.025376046732818,16.093217620952338,14.514716463488842,15.827928041252049,4.323847339510132,15.03370205922082,9.065677682921747,17.69260486745194,14.630973620987616,17.96969261067191,13.084740144544233
Street Haven,12.39866558034882,1.0535710532092004,0.9053465292525222,0.44634023105481324,5.504700814528442,16.100996230064833,2.079462574103338,1.170421709145992,1.0452486309507583,13.607490066759267,2.089232536066918,7.654283411909664,5.043552910241926,17.76506261562095,3.6532647807548218,11.784258500555714
SVDP Mary's Home,12.206812488553156,0.753794937705862,1.3616895734233307,0.24411737887232937,5.633636822294819,15.708739717184462,1.6914119639082985,1.3158173130506423,0.6916836658913889,13.593598717262768,1.627776152883837,7.71246029986769,4.671984729681938,18.024763579183205,3.4049650873385824,12.068724313070776
SVDP Elisa House,18.00357467907383,10.805826405220518,11.676718692390931,10.587934869982222,15.642512347756973,15.586857202495297,8.970482429295101,11.871463248326084,9.99155912751596,21.69848937856758,9.42741060963642,17.082979871898793,5.990612302982907,28.360304207754872,7.658086569728816,22.565692100840298
