,CFSAUID,ratio_for_demand_calc
0,M2N,0.0904816808714081
1,M4Y,0.0790817590295592
2,M5A,0.078342446129092
3,M5B,0.0705373920635642
4,M4H,0.0703889671946138
5,M3N,0.0612383946730692
6,M5T,0.0600236568494587
7,M4X,0.0600093087889723
8,M5G,0.0572279178744162
9,M2J,0.0560168640122819
10,M5S,0.0549280595033457
11,M3C,0.0548532169175654
12,M6K,0.0524908281477536
13,M1G,0.0518976134037254
14,M5V,0.0513235940379155
15,M1K,0.0511583005032582
